datetime_utc,id,text,retweets,favorites
2016-11-08 06:42:00+00:00,795879172795203584,Today we are going to win the great state of MICHIGAN and we are going to WIN back the White House! Thank you MI!... https://t.co/onRpEvzHrW,14011,45371
2016-11-08 11:43:00+00:00,795954831718498305,TODAY WE MAKE AMERICA GREAT AGAIN!,281289,498035
2016-11-08 16:39:00+00:00,796029413318082560,VOTE TODAY! Go to https://t.co/MXrAxYnTjY to find your polling location. We are going to Make America Great Again!... https://t.co/KPQ5EY9VwQ,24105,55870
2016-11-08 18:03:00+00:00,796050609254395905,We need your vote. Go to the POLLS! Let's continue this MOVEMENT! Find your poll location: https://t.co/VMUdvi1tx1... https://t.co/zGOx74Ebhw,19145,51888
2016-11-08 18:23:00+00:00,796055597594578944,#ElectionDay https://t.co/MXrAxYnTjY https://t.co/FZhOncih21,20111,51371
2016-11-08 21:18:00+00:00,796099494442057728,I will be watching the election results from Trump Tower in Manhattan with my family and friends. Very exciting!,19606,105288
2016-11-08 21:28:00+00:00,796102093727793152,"Just out according to @CNN: ""Utah officials report voting machine problems across entire country""",16952,38650
2016-11-08 21:31:00+00:00,796102830352465921,"Don't let up, keep getting out to vote - this election is FAR FROM OVER! We are doing well but there is much time left. GO FLORIDA!",28471,98062
2016-11-08 23:03:00+00:00,796126077647196160,"Still time to #VoteTrump! 
#iVoted #ElectionNight https://t.co/UZtYAY1Ba6",20849,54284
2016-11-09 02:48:00+00:00,796182637622816768,"Watching the returns at 9:45pm. 
#ElectionNight #MAGA🇺🇸 https://t.co/HfuJeRZbod",36515,161688
2016-11-09 11:36:00+00:00,796315640307060738,Such a beautiful and important evening! The forgotten man and woman will never be forgotten again. We will all come together as never before,177242,538892
2016-11-10 19:31:00+00:00,796797436752707585,Happy 241st birthday to the U.S. Marine Corps! Thank you for your service!! https://t.co/Lz2dhrXzo4,36535,142625
2016-11-11 02:10:00+00:00,796897928048766976,"A fantastic day in D.C. Met with President Obama for first time. Really good meeting, great chemistry. Melania liked Mrs. O a lot!",30356,162744
2016-11-11 02:19:00+00:00,796900183955095552,"Just had a very open and successful presidential election. Now professional protesters, incited by the media, are protesting. Very unfair!",54973,192324
2016-11-11 11:14:00+00:00,797034721075228672,Love the fact that the small groups of protesters last night have passion for our great country. We will all come together and be proud!,44039,186091
2016-11-11 13:33:00+00:00,797069763801387008,Busy day planned in New York. Will soon be making some very important decisions on the people who will be running our government!,26525,149451
2016-11-11 15:26:00+00:00,797098212599496704,Today we express our deepest gratitude to all those who have served in our armed forces. #ThankAVet https://t.co/wPk7QWpK8Z,37732,141986
2016-11-12 15:05:00+00:00,797455295928791040,"This will prove to be a great time in the lives of ALL Americans. We will unite and we will win, win, win!",42415,168207
2016-11-13 14:16:00+00:00,797805407179866112,"Wow, the @nytimes is losing thousands of subscribers because of their very poor and highly inaccurate coverage of the ""Trump phenomena""",27601,104483
2016-11-13 14:43:00+00:00,797812048805695488,The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me. I wonder if it will change - doubt it?,17321,71346
2016-11-13 14:45:00+00:00,797812630312382464,Mitt Romney called to congratulate me on the win. Very nice!,12145,92302
2016-11-13 15:23:00+00:00,797822192931262470,"Jeb Bush, George W and George H.W. all called to express their best wishes on the win. Very nice!",14411,89928
2016-11-13 15:28:00+00:00,797823553244712960,"Governor John Kasich of the GREAT, GREAT, GREAT State of Ohio called to congratulate me on the win. The people of Ohio were incredible!",18273,105106
2016-11-13 16:03:00+00:00,797832229800050688,"The @nytimes states today that DJT believes ""more countries should acquire nuclear weapons."" How dishonest are they. I never said this!",23324,76766
2016-11-13 16:33:00+00:00,797839801735114752,I will be interviewed on @60Minutes tonight after the NFL game - 7:00 P.M. Enjoy!,13124,65242
2016-11-13 18:46:00+00:00,797873313561198593,"The debates, especially the second and third, plus speeches and intensity of the large rallies, plus OUR GREAT SUPPORTERS, gave us the win!",18542,93756
2016-11-15 13:34:00+00:00,798519600413601792,If the election were based on total popular vote I would have campaigned in  N.Y. Florida and California and won even bigger and more easily,38963,148869
2016-11-15 13:40:00+00:00,798521053551140864,"The Electoral College is actually genius in that it brings all states, including the smaller ones, into play. Campaigning is much different!",30894,105850
2016-11-16 02:55:00+00:00,798721142525665280,Very organized process taking place as I decide on Cabinet and many other positions. I am the only one who knows who the finalists are!,22274,99935
2016-11-16 11:28:00+00:00,798850338384023552,"I am not trying to get ""top level security clearance"" for my children. This was a typically false news story.",27197,83909
2016-11-16 12:12:00+00:00,798861300453539840,"The failing @nytimes story is so totally wrong on transition. It is going so smoothly. Also, I have spoken to many foreign leaders.",16477,63814
2016-11-16 12:17:00+00:00,798862483255652352,"I have recieved and taken calls from many foreign leaders despite what the failing @nytimes said. Russia, U.K., China, Saudi Arabia, Japan,",20269,72965
